datetime,country,shape,duration_seconds
1949-10-10 20:30:00,us,cylinder,2700.0
1949-10-10 21:00:00,,light,7200.0
1955-10-10 17:00:00,gb,circle,20.0
1956-10-10 21:00:00,us,circle,20.0
1960-10-10 20:00:00,us,light,900.0
1961-10-10 19:00:00,us,sphere,300.0
1965-10-10 21:00:00,gb,circle,180.0
1965-10-10 23:45:00,us,disk,1200.0
1966-10-10 20:00:00,us,disk,180.0
1966-10-10 21:00:00,us,disk,120.0
1968-10-10 13:00:00,us,circle,300.0
1968-10-10 19:00:00,us,fireball,180.0
1970-10-10 16:00:00,us,disk,1800.0
1970-10-10 19:00:00,us,unknown,180.0
1971-10-10 21:00:00,us,oval,30.0
1972-10-10 19:00:00,us,circle,1200.0
1972-10-10 22:30:00,us,disk,120.0
1973-10-10 19:00:00,us,disk,1800.0
1973-10-10 23:00:00,,light,20.0
1974-10-10 19:30:00,us,other,2700.0
1974-10-10 21:30:00,gb,disk,1200.0
1974-10-10 23:00:00,us,light,1200.0
1975-10-10 17:00:00,us,light,360.0
1976-10-10 20:30:00,us,oval,60.0
1976-10-10 22:00:00,gb,cigar,3.0
1977-10-10 12:00:00,us,other,30.0
1977-10-10 22:00:00,us,light,30.0
1978-10-10 02:00:00,us,rectangle,300.0
1979-10-10 00:00:00,us,chevron,900.0
1979-10-10 22:00:00,,triangle,270.0
1979-10-10 22:00:00,us,oval,180.0
1979-10-10 22:00:00,us,unknown,1800.0
1980-10-10 19:00:00,us,sphere,180.0
1980-10-10 22:00:00,us,unknown,300.0
1980-10-10 23:30:00,us,light,300.0
1982-10-10 07:00:00,,disk,120.0
1984-10-10 05:00:00,us,circle,60.0
1984-10-10 12:00:00,us,other,120.0
1984-10-10 22:00:00,us,formation,20.0
1985-10-10 20:25:00,gb,triangle,600.0
1986-10-10 20:00:00,,chevron,180.0
1988-10-10 18:00:00,us,triangle,600.0
1988-10-10 21:00:00,us,unknown,120.0
1988-10-10 22:00:00,us,light,60.0
1988-10-10 22:45:00,us,unknown,2.0
1989-10-10 00:00:00,us,disk,300.0
1989-10-10 21:00:00,us,triangle,60.0
1989-10-10 21:00:00,,triangle,180.0
1990-10-10 21:00:00,us,triangle,120.0
1991-10-10 22:00:00,us,unknown,1800.0
1991-10-10 22:00:00,us,triangle,600.0
1992-10-10 17:00:00,us,formation,3600.0
1992-10-10 18:00:00,us,unknown,10.0
1992-10-10 20:15:00,us,cigar,60.0
1992-10-10 22:00:00,us,unknown,30.0
1993-10-10 03:00:00,,sphere,1200.0
1993-10-10 22:00:00,us,light,8.0
1993-10-10 23:00:00,us,other,60.0
1994-10-10 15:00:00,,cigar,3600.0
1994-10-10 18:30:00,us,rectangle,120.0
1994-10-10 22:00:00,us,light,5.0
1994-10-10 23:00:00,ca,sphere,3600.0
1995-10-10 19:45:00,us,,120.0
1995-10-10 22:40:00,us,,60.0
1996-10-10 03:20:00,us,triangle,3.0
1996-10-10 20:00:00,,light,300.0
1996-10-10 22:00:00,us,light,300.0
1996-10-10 22:30:00,us,cylinder,60.0
1997-10-10 16:00:00,us,delta,14400.0
1997-10-10 17:00:00,us,sphere,30.0
1997-10-10 20:00:00,us,triangle,300.0
1997-10-10 21:00:00,us,other,3600.0
1998-10-10 02:30:00,us,changing,300.0
1998-10-10 03:30:00,us,fireball,15.0
1998-10-10 13:15:00,us,cylinder,1800.0
1998-10-10 17:30:00,us,cigar,600.0
1998-10-10 17:30:00,us,circle,2700.0
1998-10-10 20:30:00,,triangle,60.0
1998-10-10 20:30:00,us,triangle,600.0
1998-10-10 20:50:00,us,light,2.0
1998-10-10 22:30:00,ca,egg,7200.0
1998-10-10 23:50:00,us,fireball,15.0
1999-10-10 00:01:00,us,changing,3600.0
1999-10-10 04:00:00,us,unknown,600.0
1999-10-10 06:00:00,us,other,10.0
1999-10-10 11:00:00,us,fireball,3600.0
1999-10-10 12:40:00,us,sphere,45.0
1999-10-10 20:35:00,us,circle,90.0
1999-10-10 21:00:00,us,light,10800.0
1999-10-10 21:30:00,us,sphere,300.0
1999-10-10 22:30:00,,triangle,120.0
1999-10-10 22:30:00,us,chevron,240.0
1999-10-10 23:45:00,us,oval,2700.0
2000-10-10 03:00:00,us,oval,180.0
2000-10-10 06:15:00,us,other,10.0
2000-10-10 07:30:00,ca,cylinder,30.0
2000-10-10 16:00:00,,triangle,45.0
2000-10-10 20:20:00,,oval,15.0
2000-10-10 20:30:00,us,light,1800.0
2000-10-10 21:30:00,us,light,5.0
2000-10-10 21:30:00,us,unknown,10.0
2000-10-10 22:00:00,us,diamond,60.0
